id_solicitante,nombre_completo,cedula,telefono,email,id_barrio,direccion,acepta_habeas,fecha_registro
60,Paula Martínez Moreno,27307598,3152421349,paula.martínez318@outlook.com,38,Transversal 72 #49-83,True,2025-05-26
61,Santiago Martínez Rojas,51455302,3024593556,santiago.martínez19@outlook.com,42,Transversal 99 #63-25,True,2025-05-29
62,Juan Torres Vargas,92950779,3027320310,juan.torres678@gmail.com,7,Carrera 21 #24-107,True,2025-09-30
63,Mónica Rodríguez Castro,91952730,3108531761,mónica.rodríguez993@hotmail.com,27,Carrera 69 #31-40,False,2025-08-22
64,Felipe Reyes Moreno,77498993,3148023963,felipe.reyes797@outlook.com,29,Carrera 105 #26-103,True,2025-06-27
65,Laura Rojas Martínez,31516757,3108538325,laura.rojas292@gmail.com,36,Carrera 107 #56-12,False,2025-06-19
66,Felipe Gómez Moreno,20952896,3114767135,felipe.gómez242@outlook.com,27,Calle 41 #120-13,True,2025-10-07
67,Luisa López López,72962895,3131088100,luisa.lópez713@empresa.com.co,3,Calle 3 #33-28,True,2025-09-11
68,Santiago Jiménez García,16408822,3058043503,santiago.jiménez309@hotmail.com,8,Diagonal 9 #15-108,True,2025-09-23
69,María Rubio Jiménez,10209961,3156919270,maría.rubio299@hotmail.com,37,Carrera 74 #54-24,True,2025-05-15
70,Felipe Martínez Suárez,15843091,3167490791,felipe.martínez400@gmail.com,34,Transversal 33 #96-3,True,2025-05-11
71,Sofía García Rodríguez,57284777,3146679880,sofía.garcía137@outlook.com,50,Carrera 107 #100-88,True,2025-10-19
72,Diana López Torres,37057085,3004346548,diana.lópez38@empresa.com.co,5,Calle 41 #120-40,True,2025-09-10
73,Camilo Rodríguez Rodríguez,98010774,3115583814,camilo.rodríguez366@outlook.com,49,Calle 103 #48-56,True,2025-08-14
74,Paula Hernández Rubio,45798645,3212385991,paula.hernández947@outlook.com,32,Diagonal 11 #56-78,False,2025-06-09
75,Andrés Vargas Castro,90882505,3208149041,andrés.vargas314@outlook.com,7,Carrera 89 #57-45,True,2025-07-23
76,Jorge Ramírez Rodríguez,20071854,3167815076,,41,Transversal 66 #103-96,True,2025-05-01
77,Carolina Castro Rojas,58607028,3121543335,carolina.castro798@hotmail.com,3,Carrera 87 #58-48,True,2025-05-13
78,Luisa Rubio García,13478029,3204121368,luisa.rubio256@outlook.com,24,Diagonal 67 #50-117,True,2025-06-30
79,Mónica Sánchez García,28217159,3222242387,mónica.sánchez205@empresa.com.co,40,Diagonal 23 #116-92,True,2025-05-16
80,Paula Rojas Torres,31139996,3203920762,paula.rojas913@outlook.com,46,Transversal 66 #29-16,False,2025-05-29
81,Laura Gómez Cortés,27417599,3152446455,laura.gómez479@outlook.com,24,Calle 40 #51-92,True,2025-09-05
82,Jorge Reyes Martínez,70394554,3139679860,jorge.reyes658@outlook.com,5,Transversal 17 #113-107,True,2025-10-04
83,Diana López García,79538491,3026102363,diana.lópez852@gmail.com,28,Carrera 21 #42-120,True,2025-07-21
84,Andrés Martínez Torres,92467167,3142567468,andrés.martínez129@outlook.com,17,Carrera 76 #75-20,True,2025-09-30
85,Paula Reyes Rodríguez,96094462,3215440189,paula.reyes84@gmail.com,3,Carrera 99 #74-54,True,2025-05-01
86,Valentina Torres Moreno,49920898,3132224284,valentina.torres251@empresa.com.co,42,Calle 21 #57-54,True,2025-06-15
87,Carolina López Rojas,63514837,3027216632,carolina.lópez752@outlook.com,21,Calle 41 #31-60,True,2025-08-17
88,Luisa García Acosta,66121095,3053679315,luisa.garcía885@empresa.com.co,4,Transversal 120 #74-93,True,2025-06-03
89,Santiago Castro Martínez,62780072,3148671057,santiago.castro24@empresa.com.co,32,Carrera 28 #75-46,True,2025-07-05
90,Carolina Suárez López,45496951,3207136730,carolina.suárez442@gmail.com,19,Diagonal 47 #6-52,True,2025-09-14
91,Felipe Cortés Cortés,47543473,3222993318,felipe.cortés783@empresa.com.co,19,Carrera 13 #51-48,True,2025-07-19
92,Felipe López Rodríguez,16080513,3003299088,felipe.lópez513@empresa.com.co,13,Transversal 103 #61-67,True,2025-09-26
93,Luisa Vargas Torres,89688374,3119511333,luisa.vargas632@empresa.com.co,40,Diagonal 91 #73-39,True,2025-04-28
94,Paula García Suárez,45638891,3164817541,paula.garcía612@gmail.com,27,Calle 75 #62-22,True,2025-09-29
95,Luisa Pérez Gómez,69195194,3118025967,luisa.pérez196@gmail.com,3,Carrera 53 #89-27,True,2025-09-27
96,Carlos López Suárez,80528349,3126263895,carlos.lópez679@outlook.com,34,Carrera 59 #117-69,True,2025-07-23
97,Camilo Acosta Cortés,50063879,3055993143,camilo.acosta286@hotmail.com,31,Transversal 91 #27-89,True,2025-07-14
98,Felipe Cortés Cortés,60961690,3237619156,felipe.cortés588@gmail.com,47,Transversal 99 #103-19,True,2025-07-06
99,Felipe Castro Sánchez,82286705,3105557052,felipe.castro220@empresa.com.co,42,Carrera 14 #79-95,True,2025-06-25
100,Santiago Pérez Vargas,73404979,3013306314,santiago.pérez424@gmail.com,41,Calle 71 #119-21,True,2025-08-23
101,Pedro Torres Martínez,97550053,3154896008,pedro.torres930@gmail.com,21,Calle 117 #118-23,True,2025-06-08
102,Daniela Suárez Rodríguez,11243818,3102800206,daniela.suárez898@outlook.com,12,Transversal 37 #59-83,True,2025-08-28
103,Santiago Castro Hernández,71594457,3165316188,santiago.castro339@gmail.com,18,Carrera 2 #95-44,True,2025-09-16
104,Pedro Hernández Jiménez,79159799,3112455218,pedro.hernández847@empresa.com.co,40,Diagonal 86 #13-24,False,2025-08-24
105,Sofía Gómez Ramírez,54241559,3101191859,sofía.gómez772@empresa.com.co,17,Transversal 84 #47-89,True,2025-10-11
106,Mónica Torres García,95726382,3235949909,mónica.torres707@outlook.com,11,Transversal 79 #29-29,False,2025-08-24
107,Mónica Acosta Cortés,99133246,3224664338,mónica.acosta776@empresa.com.co,24,Carrera 88 #97-77,True,2025-05-14
108,Mónica Rubio Cortés,77845324,3053514105,mónica.rubio64@gmail.com,46,Carrera 42 #110-67,True,2025-10-15
109,Diego Suárez Rodríguez,70858653,3029610869,diego.suárez829@empresa.com.co,6,Diagonal 59 #73-8,True,2025-10-13
110,María Moreno Martínez,16078694,3126780235,maría.moreno593@hotmail.com,17,Calle 70 #8-120,True,2025-08-22
111,Andrés Jiménez Moreno,70201634,3227333337,andrés.jiménez384@empresa.com.co,12,Diagonal 11 #88-85,True,2025-05-28
112,Felipe García Moreno,80980044,3024736121,,12,Calle 97 #3-39,True,2025-09-10
113,Valentina Moreno Ramírez,35297417,3232893218,valentina.moreno159@outlook.com,15,Calle 104 #85-54,True,2025-04-28
114,Pedro Martínez Rodríguez,42847661,3201742169,pedro.martínez613@empresa.com.co,7,Diagonal 57 #30-70,True,2025-05-08
115,Santiago Torres Acosta,53038943,3056062767,santiago.torres592@outlook.com,15,Carrera 85 #67-29,True,2025-07-03
116,Valentina Reyes Suárez,16292676,3117394713,valentina.reyes570@empresa.com.co,48,Transversal 90 #54-53,True,2025-07-29
117,Valentina Suárez López,72146184,3231966769,valentina.suárez879@outlook.com,16,Diagonal 54 #72-68,True,2025-06-25
118,Pedro Vargas Rojas,22410307,3144195751,pedro.vargas868@empresa.com.co,42,Calle 35 #49-87,True,2025-05-04
119,Pedro Reyes Sánchez,54689713,3101257256,pedro.reyes491@hotmail.com,47,Carrera 120 #25-95,True,2025-08-24
120,Carolina Sánchez Torres,61091554,3139953163,carolina.sánchez795@outlook.com,26,Transversal 40 #34-47,True,2025-08-29
121,Ana Suárez Vargas,65556767,3004712363,ana.suárez380@hotmail.com,49,Carrera 3 #34-71,False,2025-09-19
122,Andrés López Pérez,77015110,3146663388,andrés.lópez584@empresa.com.co,13,Transversal 98 #106-63,False,2025-10-05
123,Mónica Hernández Cortés,75540707,3021985360,mónica.hernández144@hotmail.com,47,Calle 108 #109-10,False,2025-10-12
124,María Jiménez López,11226946,3059484790,maría.jiménez70@hotmail.com,9,Diagonal 48 #8-80,True,2025-09-28
125,Laura Gómez Gómez,81057233,3205609384,laura.gómez13@empresa.com.co,1,Transversal 3 #65-105,True,2025-08-12
126,Ana García Rubio,43878996,3226946534,ana.garcía635@hotmail.com,34,Transversal 102 #51-11,True,2025-08-05
127,Diego Pérez Rodríguez,22549425,3127362994,diego.pérez670@gmail.com,45,Diagonal 71 #61-8,True,2025-10-20
128,Juan Suárez García,80888325,3231713900,juan.suárez580@outlook.com,28,Carrera 28 #116-112,True,2025-09-16
129,Camilo Rodríguez Cortés,85633013,3161552000,camilo.rodríguez921@outlook.com,5,Carrera 119 #109-41,True,2025-06-16
130,Luisa Moreno Moreno,82553061,3117439870,luisa.moreno581@hotmail.com,5,Carrera 102 #89-93,True,2025-07-21
131,Ana Jiménez Acosta,89941241,3126475691,ana.jiménez620@outlook.com,15,Calle 82 #35-101,False,2025-08-27
132,Felipe Cortés Acosta,49645162,3215134741,felipe.cortés88@empresa.com.co,25,Calle 11 #35-20,True,2025-10-03
133,Daniela Vargas Torres,69691437,3115525929,daniela.vargas966@gmail.com,24,Calle 17 #12-24,True,2025-09-13
134,Santiago Jiménez Martínez,90117857,3156443037,santiago.jiménez568@outlook.com,7,Diagonal 2 #38-53,True,2025-05-15
135,Sofía Reyes López,46093692,3105503118,sofía.reyes174@empresa.com.co,34,Diagonal 19 #9-22,True,2025-08-09
136,Laura Martínez Suárez,89699345,3154280754,laura.martínez739@hotmail.com,24,Diagonal 14 #18-39,True,2025-08-03
137,Carolina Moreno Acosta,28270317,3106379868,carolina.moreno836@empresa.com.co,22,Carrera 62 #41-23,False,2025-07-14
138,Laura Reyes Moreno,58991556,3014352088,laura.reyes837@outlook.com,16,Carrera 88 #99-71,True,2025-08-20
139,Mónica Torres Suárez,28680305,3166080688,mónica.torres690@empresa.com.co,45,Carrera 33 #85-20,True,2025-07-29
140,Mónica Acosta Rodríguez,58255231,3202425760,mónica.acosta557@empresa.com.co,31,Calle 99 #32-85,True,2025-06-05
141,Carolina Rodríguez Moreno,54506155,3218221845,,37,Calle 2 #13-34,True,2025-09-03
142,Diego Reyes Reyes,77171380,3026787592,diego.reyes475@empresa.com.co,15,Calle 62 #14-38,True,2025-05-15
143,Luisa Rojas Suárez,56748074,3132637842,luisa.rojas534@hotmail.com,20,Diagonal 93 #90-58,True,2025-07-09
144,Ana Gómez Pérez,79255529,3023686631,ana.gómez953@hotmail.com,22,Transversal 72 #55-60,True,2025-08-05
145,Diana Hernández Acosta,36484437,3138206700,diana.hernández30@empresa.com.co,41,Diagonal 1 #91-28,True,2025-10-21
146,Diego García Castro,25294777,3109212178,diego.garcía202@outlook.com,35,Transversal 77 #50-79,True,2025-05-23
147,Felipe Castro Acosta,89211057,3013247270,felipe.castro941@outlook.com,40,Transversal 16 #31-40,True,2025-07-28
148,Luisa Rubio Moreno,66779304,3029164971,luisa.rubio589@hotmail.com,25,Carrera 72 #22-63,True,2025-06-10
149,Mónica Acosta López,36189702,3227441514,mónica.acosta497@gmail.com,4,Diagonal 53 #88-63,True,2025-08-15
150,Diana Martínez Rodríguez,46890134,3055843084,diana.martínez300@hotmail.com,37,Carrera 100 #59-73,True,2025-08-28
151,Santiago García Rodríguez,69239219,3144666525,santiago.garcía556@outlook.com,37,Diagonal 14 #95-107,True,2025-06-26
152,Carlos Castro García,41802361,3056882609,carlos.castro450@gmail.com,17,Diagonal 22 #79-18,True,2025-06-15
153,Diego Rojas Torres,48833650,3155485272,diego.rojas332@hotmail.com,35,Calle 18 #97-101,True,2025-05-09
154,Luisa López Pérez,62707402,3133385244,luisa.lópez849@outlook.com,16,Transversal 81 #54-49,True,2025-10-03
155,Daniela Rubio Suárez,53928023,3151041491,daniela.rubio466@outlook.com,48,Calle 94 #59-82,True,2025-07-24
156,Valentina Moreno Sánchez,76399516,3106416778,,14,Transversal 44 #71-74,True,2025-08-26
157,Carlos Rodríguez García,31204188,3138659103,carlos.rodríguez17@empresa.com.co,7,Calle 55 #26-89,True,2025-10-07
158,Diana Ramírez Rojas,99188862,3233777050,diana.ramírez85@outlook.com,6,Calle 51 #81-40,True,2025-06-22
159,Juan García Reyes,40358823,3148466983,juan.garcía136@gmail.com,1,Calle 2 #90-44,True,2025-08-10
160,Luisa Suárez García,23851475,3117166661,luisa.suárez749@gmail.com,5,Transversal 18 #49-100,True,2025-05-28
161,Luisa Martínez Rojas,38595818,3163539636,luisa.martínez451@hotmail.com,34,Diagonal 79 #88-57,True,2025-05-16
162,Luisa García Jiménez,52211967,3213345961,luisa.garcía987@outlook.com,38,Carrera 36 #83-11,True,2025-09-24
163,Carolina Torres Torres,37574457,3149548370,carolina.torres869@gmail.com,50,Carrera 96 #51-38,True,2025-06-24
164,Daniela García Gómez,58465780,3236309530,daniela.garcía541@gmail.com,16,Carrera 50 #111-108,True,2025-07-26
165,Diana Suárez Ramírez,38956527,3002014499,diana.suárez15@gmail.com,50,Diagonal 65 #37-81,True,2025-08-08
166,Daniela Martínez Martínez,51594998,3019578269,daniela.martínez285@hotmail.com,41,Carrera 104 #20-69,True,2025-09-21
167,Juan Torres Pérez,21571285,3238289425,juan.torres60@hotmail.com,45,Calle 59 #79-78,True,2025-10-11
168,Diana García Suárez,56533974,3149677559,diana.garcía168@gmail.com,1,Transversal 22 #48-17,True,2025-07-01
169,María Vargas Reyes,94226031,3019323974,maría.vargas270@gmail.com,28,Diagonal 66 #47-8,True,2025-09-16
170,Felipe Hernández Rubio,10344739,3001206159,felipe.hernández234@gmail.com,17,Carrera 6 #61-47,True,2025-06-01
171,Carlos Cortés Vargas,43321320,3126367620,carlos.cortés230@empresa.com.co,46,Transversal 106 #10-74,True,2025-08-30
172,Carlos Hernández Moreno,19251149,3238802985,carlos.hernández977@gmail.com,15,Transversal 100 #109-40,True,2025-09-12
173,María Rojas Acosta,42559072,3137178606,maría.rojas758@outlook.com,13,Diagonal 99 #100-26,True,2025-09-10
174,Luisa Gómez Gómez,54965270,3007312844,luisa.gómez652@outlook.com,27,Transversal 14 #27-68,False,2025-08-09
175,Carlos López Pérez,79760901,3127249378,carlos.lópez944@gmail.com,46,Diagonal 96 #11-75,True,2025-05-28
176,Daniela Martínez López,41778964,3105378701,daniela.martínez679@empresa.com.co,38,Transversal 119 #103-51,True,2025-07-16
177,Mónica Ramírez Reyes,24626086,3022772642,mónica.ramírez140@hotmail.com,15,Carrera 58 #60-41,True,2025-09-08
178,Pedro Castro Hernández,50831043,3221676621,pedro.castro93@gmail.com,20,Carrera 107 #110-42,True,2025-06-26
179,Daniela Rubio Hernández,14171767,3128586676,daniela.rubio840@outlook.com,4,Carrera 13 #60-14,True,2025-05-29
180,María Rodríguez López,36592965,3227720647,,50,Transversal 88 #81-83,True,2025-09-21
181,Juan Gómez López,22345163,3236562484,juan.gómez829@empresa.com.co,5,Calle 6 #60-7,True,2025-09-17
182,Daniela Suárez Rojas,38818707,3234139874,daniela.suárez177@empresa.com.co,2,Transversal 36 #58-114,True,2025-09-28
183,Carolina Pérez Cortés,74294443,3002471723,carolina.pérez904@empresa.com.co,42,Transversal 50 #18-54,True,2025-09-05
184,Valentina Gómez Cortés,75052579,3119428760,valentina.gómez492@outlook.com,25,Transversal 50 #35-24,True,2025-09-23
185,María Ramírez Rojas,88381665,3053678059,maría.ramírez543@empresa.com.co,4,Calle 32 #85-31,True,2025-05-08
186,Diego Moreno Pérez,89526622,3117019382,diego.moreno181@hotmail.com,23,Calle 91 #90-46,False,2025-09-15
187,Diego Sánchez Rodríguez,22114140,3004902772,diego.sánchez503@hotmail.com,32,Carrera 3 #68-62,True,2025-09-28
188,Luisa Vargas Gómez,29825571,3153376537,luisa.vargas61@outlook.com,46,Calle 109 #68-111,True,2025-05-12
189,Daniela Reyes Hernández,68635481,3219173859,daniela.reyes140@outlook.com,7,Transversal 23 #91-72,True,2025-09-28
190,Sofía Reyes Hernández,10241310,3207569981,sofía.reyes131@outlook.com,12,Calle 24 #78-41,True,2025-09-27
191,Diego García Rojas,52885071,3022488575,diego.garcía244@gmail.com,32,Transversal 58 #2-34,True,2025-10-18
192,Felipe Ramírez Castro,66324902,3027946088,felipe.ramírez396@gmail.com,7,Diagonal 113 #49-45,True,2025-05-19
193,Diego Pérez Gómez,52777459,3102756994,diego.pérez302@gmail.com,11,Calle 44 #22-114,True,2025-05-13
194,Juan Vargas Suárez,14159837,3123768193,,39,Diagonal 21 #7-13,True,2025-06-11
195,Valentina Cortés García,16661956,3129236745,valentina.cortés244@outlook.com,17,Carrera 7 #47-1,True,2025-07-08
196,Carolina Suárez Torres,20997276,3132937918,carolina.suárez175@hotmail.com,13,Transversal 101 #51-61,True,2025-10-10
197,Juan Cortés Hernández,69830944,3005417373,juan.cortés379@empresa.com.co,25,Diagonal 60 #34-29,True,2025-09-15
198,Luisa García Reyes,40536245,3142023137,luisa.garcía995@empresa.com.co,6,Diagonal 105 #67-54,False,2025-10-16
199,Diego Pérez Rodríguez,77390918,3159670757,diego.pérez925@empresa.com.co,31,Carrera 16 #97-58,True,2025-06-05
200,Pedro López López,89865944,3106364506,pedro.lópez207@empresa.com.co,3,Calle 12 #50-72,True,2025-07-16
